시군구,단지명,계약연월,전용면적(㎡),매매대금(만원) 평균,전세(만원) 평균,면적당 매매대금평균,면적당 전세평균,전세가율-100%,lat,lng,전세가율-90%,전세가율-80%,전세가율-70%,전세가율-60%
강원특별자치도 강릉시 견소동-289,송정해변신도브래뉴아파트,2021-06-01,74.99,27110.0,21320.0,361.5148686,284.3045739,78.64256732,37.7747701,128.9396775,24399.0,21688.0,18977.0,16266.0
강원특별자치도 강릉시 교동-0018,교동대림,2020-09-01,84.98,14500.0,14200.0,170.6283831,167.0981407,97.93103448,37.7718785,128.8990252,13050.0,11600.0,10150.0,8700.0
강원특별자치도 강릉시 교동-0046,한신,2020-04-01,59.84,12400.0,11000.0,207.2192513,183.8235294,88.70967742,37.7678028,128.9001919,11160.0,9920.0,8680.0,7440.0
강원특별자치도 강릉시 교동-0046,한신,2020-05-01,84.98,14000.0,15000.0,164.7446458,176.5121205,107.1428571,37.7678028,128.9001919,12600.0,11200.0,9800.0,8400.0
강원특별자치도 강릉시 교동-0318,매화임대,2020-07-01,48.6,5300.0,6000.0,109.0534979,123.4567901,113.2075472,37.7693466,128.8942286,4770.0,4240.0,3709.9999999999995,3180.0
강원특별자치도 강릉시 교동-1759,현대하이빌,2019-12-01,122.74,27966.66667,24000.0,227.852914,195.5352778,85.81644815,37.7652661,128.8834137,25170.000003,22373.333336,19576.666669,16780.000001999997
강원특별자치도 강릉시 교동-1759,현대하이빌,2022-10-01,99.96,42500.0,28000.0,425.170068,280.1120448,65.88235294,37.7652661,128.8834137,38250.0,34000.0,29749.999999999996,25500.0
강원특별자치도 강릉시 교동-1762,부영5,2019-11-01,84.93,20200.0,19000.0,237.8429295,223.7136465,94.05940594,37.7639237,128.882928,18180.0,16160.0,14140.0,12120.0
강원특별자치도 강릉시 교동-1762,부영5,2019-12-01,84.93,20500.0,18000.0,241.3752502,211.9392441,87.80487805,37.7639237,128.882928,18450.0,16400.0,14349.999999999998,12300.0
강원특별자치도 강릉시 교동-1762,부영5,2021-04-01,84.93,29150.0,24000.0,343.2238314,282.5856588,82.33276158,37.7639237,128.882928,26235.0,23320.0,20405.0,17490.0
강원특별자치도 강릉시 교동-1762,부영5,2021-07-01,84.93,30600.0,32000.0,360.2967149,376.7808784,104.5751634,37.7639237,128.882928,27540.0,24480.0,21420.0,18360.0
강원특별자치도 강릉시 교동-1762,부영5,2021-09-01,84.93,31500.0,26000.0,370.8936771,306.1344637,82.53968254,37.7639237,128.882928,28350.0,25200.0,22050.0,18900.0
강원특별자치도 강릉시 교동-1762,부영5,2022-02-01,84.93,41066.66667,22600.0,483.5354606,266.1014953,55.03246753,37.7639237,128.882928,36960.000003,32853.333336,28746.666669,24640.000001999997
강원특별자치도 강릉시 교동-1767,교동2현대,2020-01-01,84.97,22098.0,2000.0,260.0682594,23.5377192,9.050592814,37.762961,128.8804893,19888.2,17678.4,15468.599999999999,13258.8
강원특별자치도 강릉시 교동-1767,교동2현대,2021-05-01,92.425,33050.0,30000.0,357.5872329,324.5875034,90.77155825,37.762961,128.8804893,29745.0,26440.0,23135.0,19830.0
강원특별자치도 강릉시 교동-1773,부영1,2022-05-01,59.58,24800.0,9444.0,416.2470628,158.509567,38.08064516,37.7617756,128.8746545,22320.0,19840.0,17360.0,14880.0
강원특별자치도 강릉시 교동-1773,부영1,2022-11-01,59.58,21500.0,9765.0,360.8593488,163.897281,45.41860465,37.7617756,128.8746545,19350.0,17200.0,15049.999999999998,12900.0
강원특별자치도 강릉시 교동-1775,부영6,2019-10-01,84.9763,18983.33333,19000.0,223.3956213,223.5917544,100.0877963,37.7614596,128.8764454,17084.999997000003,15186.666664000002,13288.333331,11389.999998000001
강원특별자치도 강릉시 교동-1775,부영6,2019-11-01,84.9763,19100.0,19000.0,224.7685531,223.5917544,99.47643979,37.7614596,128.8764454,17190.0,15280.0,13370.0,11460.0
강원특별자치도 강릉시 교동-1775,부영6,2020-02-01,59.987,15775.0,14000.0,262.9736443,233.3838998,88.74801902,37.7614596,128.8764454,14197.5,12620.0,11042.5,9465.0
강원특별자치도 강릉시 교동-1775,부영6,2020-04-01,59.987,16300.0,14500.0,271.7255405,241.7190391,88.95705521,37.7614596,128.8764454,14670.0,13040.0,11410.0,9780.0
강원특별자치도 강릉시 교동-1775,부영6,2021-09-01,84.9763,35000.0,29000.0,411.8795476,341.2716251,82.85714286,37.7614596,128.8764454,31500.0,28000.0,24500.0,21000.0
